"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","183","test_login_valid","tests","Sun Jul 27 22:23:57 GMT+07:00 2025","passed","Sun Jul 27 22:23:57 GMT+07:00 2025","TestLoginWeb","test_login","",""
"","425","test_add_3_items_and_finish","tests","Sun Jul 27 22:23:55 GMT+07:00 2025","passed","Sun Jul 27 22:23:56 GMT+07:00 2025","TestCheckout","test_checkout","",""
